work_id,title,authors,first_publish_year,edition_count,languages
OL1000000W,A ghost of a chance,Bill Crider,2000,1,eng
OL1000001W,Ghost Of A Chance,Bill Crider,2001,2,eng
OL1000003W,Murder Among the Owls,Bill Crider,2007,2,eng
OL1000004W,Murder is an art,Bill Crider,1999,1,eng
OL1000005W,Murder most fowl,Bill Crider,1994,1,eng
OL100000W,Bloody Kin,Margaret Maron,1985,4,eng
OL1000010W,"Of All Sad Words (Sheriff Dan Rhodes Mysteries, No. 15)",Bill Crider,2008,1,eng
OL1000011W,One dead dean,Bill Crider,1988,1,eng
OL1000012W,Outrage at Blanco,Bill Crider,1999,1,eng
OL1000013W,The prairie chicken kill,Bill Crider,1996,1,eng
OL1000014W,A romantic way to die,Bill Crider,2001,1,eng
OL1000015W,A Romantic Way to Die,Bill Crider,2002,2,eng
OL1000016W,The Texas capitol murders,Bill Crider,1992,1,eng
OL1000017W,Texas Vigilante,Bill Crider,1999,1,eng
OL1000018W,A vampire named Fred,Bill Crider,1990,1,eng
OL1000019W,White House Horrors,Martin H. Greenberg,1996,2,eng
OL100001W,Death in blue folders,Margaret Maron,1985,6,eng
OL1000020W,Winning can be murder,Bill Crider,1996,1,eng
OL1000021W,Cursed to Death,Bill Crider,1988,2,eng
OL1000022W,Dead on the island,Bill Crider,1991,2,eng
OL1000023W,Dead soldiers,Bill Crider,2004,2,eng
OL1000024W,Death by accident,Bill Crider,1998,2,eng
OL1000025W,Gator Kill,Bill Crider,1992,2,eng
OL1000026W,A mammoth murder,Bill Crider,2006,2,eng
OL1000028W,Murder in four parts,Bill Crider,2009,2,eng
OL1000029W,Murder takes a break,Bill Crider,1997,2,eng
OL100002W,Fugitive colors,Margaret Maron,1995,3,eng
OL1000030W,Of all sad words,Bill Crider,2008,2,eng
OL1000031W,"Red, white, and blue murder",Bill Crider,2003,2,eng
OL1000033W,Shotgun Saturday night,Bill Crider,1987,2,eng
OL1000035W,Too late to die,Bill Crider,1986,2,eng
OL1000036W,We'll Always Have Murder,Bill Crider,2003,3,eng
OL1000037W,When old men die,Bill Crider,1994,2,eng
OL1000038W,A bond with death,Bill Crider,2004,3,eng
OL1000039W,A dangerous thing,Bill Crider,1994,3,eng
OL100003W,Home fires,Margaret Maron,1998,12,eng
OL1000041W,A knife in the back,Bill Crider,2002,3,eng
OL1000042W,Murder among the OWLS,Bill Crider,2007,3,eng
OL1000043W,Muttketeer!,Bill Crider,1997,2,eng
OL1000045W,Brazen heiress,Elizabeth Boyle,1999,4,rus; eng
OL1000046W,Confessions of a Little Black Gown,Elizabeth Boyle,2009,2,eng
OL100004W,Last lessons of summer,Margaret Maron,2003,5,eng
OL1000053W,No Marriage of Convenience (Avon Romantic Treasure),Elizabeth Boyle,2000,2,eng
OL1000055W,Once Tempted,Elizabeth Boyle,2001,2,eng
OL1000056W,Something about Emmaline,Elizabeth Boyle,2005,2,eng
OL1000059W,Brazen Angel,Elizabeth Boyle,1997,2,eng
OL1000060W,Brazen Temptress,Elizabeth Boyle,1999,2,eng
OL1000061W,His Mistress By Morning (Avon Romantic Treasure),Elizabeth Boyle,2006,3,eng
OL1000062W,It takes a hero,Elizabeth Boyle,2004,3,eng; rus
OL1000063W,Love Letters From a Duke,Elizabeth Boyle,2007,4,eng
OL1000064W,One Night of Passion,Elizabeth Boyle,2002,3,eng
OL1000065W,Stealing the Bride,Elizabeth Boyle,2003,3,eng
OL1000066W,This Rake of Mine (Avon Romantic Treasure),Elizabeth Boyle,2005,3,eng
OL1000068W,Cat and the countess,Casey Claybourne,2000,1,eng
OL1000069W,The Devil's Darling,Casey Claybourne,1994,1,eng
OL100006W,Past imperfect,Margaret Maron,1991,4,eng
OL1000070W,A Ghost of a Chance (Haunting Hearts),Casey Claybourne,1996,1,eng
OL1000073W,Nick of Time,Casey Claybourne,1997,1,eng
OL1000074W,A spirited seduction,Casey Claybourne,1997,1,eng
OL1000076W,Tiger by the Tail,Casey Claybourne,1999,1,eng
OL1000077W,The Baron,Juliana Garnett,1999,1,eng
OL100007W,Rituals of the Season,Margaret Maron,1988,10,eng
OL1000081W,The Knight,Juliana Garnett,2001,1,eng
OL1000082W,The Laird,Juliana Garnett,2002,2,eng
OL1000084W,"Quest, The",Juliana Garnett,1995,1,eng
OL1000085W,The Scotsman,Juliana Garnett,1998,1,eng
OL1000087W,The alligator's farewell,Hialeah Jackson,1999,1,eng
OL1000088W,"Farewell, Conch Republic",Hialeah Jackson,1999,1,eng
OL1000089W,Border lord,Haywood Smith,2001,1,eng
