topic,tweet_count,average_sentiment,average_confidence,negative,neutral,positive
News & Social Concern,331,0.05642879,0.7672387,86,143,102
Sports,326,0.27815038,0.8098543,50,136,140
Music,243,0.52192974,0.82784635,14,81,148
Celebrity & Pop Culture,174,0.45276678,0.80437213,15,64,95
Diaries & Daily Life,172,0.45123628,0.8442897,28,37,107
Film Tv & Video,171,0.4151683,0.80557543,18,65,88
Business & Entrepreneurs,62,0.39150083,0.78318924,11,16,35
Fitness & Health,57,0.10266713,0.7818424,16,21,20
Other Hobbies,57,0.5033229,0.809719,4,18,35
Science & Technology,56,0.095821574,0.726027,13,22,21
Arts & Culture,55,0.56007403,0.8339189,6,13,36
Gaming,51,0.55597734,0.86101073,5,11,35
Family,46,0.7088218,0.877274,2,6,38
Relationships,44,0.6351254,0.83938736,4,6,34
Food & Dining,37,0.6441557,0.86305106,4,5,28
Fashion & Style,24,0.38848817,0.7449611,2,14,8
Travel & Adventure,23,0.1383281,0.80393714,8,5,10
Learning & Educational,22,0.35816407,0.794865,2,9,11
Youth & Student Life,14,0.19213332,0.75484663,2,7,5
